user_id,username,password,role
1,admin_pro,p@ssw0rd123,0
2,manager_hcm,m@nager_hcm_2026,0
3,manager_hn,m@nager_hn_2026,0
4,staff_ticket01,st@ff_pass_01,0
5,staff_ticket02,st@ff_pass_02,0
6,nguyenvana,vana123456,1
7,tranthib,thib_pass!@#,1
8,le_duy,duyle2024,1
9,phamthic,c_pham99_xyz,1
10,khachhang_10,muave_9999,1
11,john_smith,smith_j0hn,1
12,alice_wonder,w0nderl@nd,1
13,bruce_wayne,b@tman_r1ses,1
14,clark_kent,sup3rman!,1
15,diana_prince,w0nderw0m@n,1
16,peter_parker,spid3y_web,1
17,tony_stark,ir0nm@n3000,1
18,steve_rogers,c@p_america,1
19,natasha_r,bl@ckwid0w,1
20,wanda_m,sc@rlet_w,1
21,stephen_s,doct0r_m@gic,1
22,thor_odinson,thund3r_g0d,1
23,loki_laufeyson,m1schief_1,1
24,bruce_banner,hulk_sm@sh,1
25,scott_lang,antm@n_quant,1
26,hope_vandyne,w@sp_sting,1
27,carol_danvers,c@ptain_m,1
28,sam_wilson,f@lcon_wing,1
29,bucky_barnes,w1nter_s,1
30,tchalla_king,w@kanda_4evr,1
31,shuri_tech,p@nther_tech,1
32,peter_quill,st@rlord88,1
33,gamora_z,z3n_whoberi,1
34,drax_destroyer,dr@x_inv,1
35,rocket_racoon,tr@sh_panda,1
36,groot_tree,i_am_gr00t,1
37,mantis_bug,feel1ngs_99,1
38,nebula_blue,cyb0rg_s1ster,1
39,nick_fury,sh1eld_b0ss,1
40,maria_hill,deputy_h1ll,1
41,phuong_ly,lyphuong_99,1
42,tuan_hung,hungtuan_88,1
43,minh_triet,triet_minh_123,1
44,hoang_yen,yenhoang_bird,1
45,bao_ngoc,ngocbao_gem,1
46,quang_hai,haiquang_ball,1
47,van_toan,toanvan_run,1
48,tien_linh,linhtien_goal,1
49,thanh_chung,chungthanh_def,1
50,tuan_anh,anhtuan_mid,1
